"PARTIVLG" "skyldigfri" "merpoliti" "burinne" "overvak" "ransak" "bunnsamfunn" "utdanning" "mann" "alder"
"Fremskrittspartiet (FrP)" 0 1 1 3 3 5 NA 1 25
"Fremskrittspartiet (FrP)" 0 NA 3 1 0 5 1 0 53
"Fremskrittspartiet (FrP)" 0 1 2 2 1 5 1 1 50
"Fremskrittspartiet (FrP)" NA 2 3 3 NA 10 1 1 55
"Fremskrittspartiet (FrP)" 0 2 2 3 2 5 2 1 64
"Fremskrittspartiet (FrP)" 0 1 1 3 3 1 4 0 57
NA NA NA NA NA NA NA NA NA NA
"Fremskrittspartiet (FrP)" 0 2 3 3 1 6 1 1 23
NA NA NA NA NA NA NA NA NA NA
"Fremskrittspartiet (FrP)" 0 0 1 2 2 6 1 1 58
"Fremskrittspartiet (FrP)" 0 NA NA NA NA 3 4 0 73
"Fremskrittspartiet (FrP)" 0 1 2 2 NA 7 1 0 54
"Fremskrittspartiet (FrP)" 0 1 2 2 3 9 1 0 44
"Høyre (H)" 0 1 0 3 2 4 1 0 52
"Fremskrittspartiet (FrP)" 0 2 1 3 2 5 3 0 62
"Fremskrittspartiet (FrP)" 0 0 2 1 1 5 2 1 34
"Fremskrittspartiet (FrP)" 1 1 3 NA NA 7 1 0 57
"Fremskrittspartiet (FrP)" 0 0 1 2 2 5 1 1 55
"Fremskrittspartiet (FrP)" 0 2 2 2 1 3 5 0 64
"Fremskrittspartiet (FrP)" 0 0 0 2 1 4 1 1 38
"Fremskrittspartiet (FrP)" 0 2 3 3 3 3 NA 1 59
"Fremskrittspartiet (FrP)" 1 NA 2 3 3 5 1 1 19
"Fremskrittspartiet (FrP)" 0 1 2 NA 0 9 1 1 59
"Fremskrittspartiet (FrP)" 1 2 3 3 3 1 NA 1 69
"Høyre (H)" 0 1 2 2 1 3 4 1 58
"Fremskrittspartiet (FrP)" 0 2 3 2 2 4 1 1 53
"Fremskrittspartiet (FrP)" 0 1 2 2 2 5 1 1 40
"Fremskrittspartiet (FrP)" 1 1 3 3 2 5 1 1 68
"Høyre (H)" 1 2 3 2 3 3 1 1 48
"Fremskrittspartiet (FrP)" 0 1 3 NA NA 5 1 0 46
"Fremskrittspartiet (FrP)" 0 1 NA NA NA 5 1 0 65
"Høyre (H)" 0 2 1 3 2 3 1 1 57
"Høyre (H)" 0 1 2 2 2 5 1 1 78
"Høyre (H)" 0 2 1 3 0 5 5 0 52
"Fremskrittspartiet (FrP)" 0 1 1 3 1 7 1 1 51
"Fremskrittspartiet (FrP)" 0 0 2 2 2 6 NA 1 19
"Fremskrittspartiet (FrP)" 0 1 2 3 2 5 NA 1 58
"Fremskrittspartiet (FrP)" 0 1 3 3 3 4 3 1 50
"Fremskrittspartiet (FrP)" 0 1 3 3 3 5 1 0 69
"Fremskrittspartiet (FrP)" 0 1 0 2 3 4 3 1 48
"Fremskrittspartiet (FrP)" 0 2 1 3 3 5 2 0 42
"Høyre (H)" 0 1 2 3 2 5 1 1 38
"Høyre (H)" 0 1 1 3 2 5 1 1 34
"Fremskrittspartiet (FrP)" 0 0 NA 3 NA 3 1 0 41
"Fremskrittspartiet (FrP)" 0 2 3 3 3 NA 1 1 55
"Fremskrittspartiet (FrP)" 0 1 2 2 1 5 1 0 58
"Fremskrittspartiet (FrP)" 0 0 1 2 0 4 4 1 31
"Fremskrittspartiet (FrP)" 0 0 2 2 2 5 1 0 49
"Fremskrittspartiet (FrP)" 0 NA 3 NA 3 1 NA 0 74
NA NA NA NA NA NA NA NA NA NA
"Høyre (H)" 1 1 2 2 1 5 1 1 45
"Høyre (H)" 0 0 1 2 1 5 1 1 42
"Fremskrittspartiet (FrP)" 1 1 3 3 3 5 NA 0 21
"Fremskrittspartiet (FrP)" 0 1 1 2 1 3 4 0 35
"Fremskrittspartiet (FrP)" 0 1 1 2 2 5 1 1 40
"Fremskrittspartiet (FrP)" 0 2 0 2 3 5 1 0 39
"Fremskrittspartiet (FrP)" 0 1 2 3 2 5 1 1 73
"Fremskrittspartiet (FrP)" 0 2 3 3 3 7 NA 1 51
"Fremskrittspartiet (FrP)" 0 1 2 3 2 6 1 1 32
"Høyre (H)" 0 0 2 3 2 5 NA 1 41
"Fremskrittspartiet (FrP)" 1 1 3 3 2 2 4 0 39
"Høyre (H)" 0 1 2 1 1 5 5 0 45
"Høyre (H)" 0 2 0 3 3 6 1 0 59
"Fremskrittspartiet (FrP)" 0 0 2 2 1 2 NA 1 70
"Høyre (H)" 0 1 NA 1 NA NA NA 0 79
"Høyre (H)" 0 1 1 1 1 8 1 0 19
"Høyre (H)" 0 0 2 2 0 4 2 1 54
"Fremskrittspartiet (FrP)" 0 0 2 3 0 6 NA 0 51
"Fremskrittspartiet (FrP)" 0 1 1 3 1 8 1 1 18
"Fremskrittspartiet (FrP)" 0 1 1 1 1 5 1 1 43
"Fremskrittspartiet (FrP)" 0 1 2 3 3 3 1 1 47
"Høyre (H)" 0 0 3 3 3 4 3 1 51
"Fremskrittspartiet (FrP)" 0 1 1 2 1 6 1 0 28
"Fremskrittspartiet (FrP)" 0 1 3 3 3 5 3 0 34
"Fremskrittspartiet (FrP)" NA 2 0 1 0 NA NA 0 77
"Høyre (H)" 0 1 3 3 3 5 1 1 50
"Høyre (H)" 0 0 1 1 0 3 NA 0 65
"Høyre (H)" 0 0 0 3 2 5 4 0 38
"Høyre (H)" NA 2 3 3 3 5 2 1 36
"Høyre (H)" NA 1 3 3 3 5 1 1 33
"Fremskrittspartiet (FrP)" 0 2 NA NA 1 3 1 0 71
"Fremskrittspartiet (FrP)" 0 0 2 3 1 7 5 1 68
"Fremskrittspartiet (FrP)" 0 2 3 3 3 4 1 1 43
"Fremskrittspartiet (FrP)" 0 0 3 3 3 5 NA 1 33
"Fremskrittspartiet (FrP)" 0 2 2 3 3 5 1 1 59
"Fremskrittspartiet (FrP)" 0 1 1 3 NA 6 1 1 19
"Fremskrittspartiet (FrP)" 0 1 3 3 3 10 3 1 58
"Høyre (H)" 0 2 2 3 2 4 NA 1 59
"Fremskrittspartiet (FrP)" NA 1 3 3 3 5 1 1 31
"Fremskrittspartiet (FrP)" 0 1 NA 3 3 6 1 1 69
"Fremskrittspartiet (FrP)" 0 1 3 3 3 5 NA 1 51
"Fremskrittspartiet (FrP)" NA 2 1 3 1 4 1 0 29
"Høyre (H)" 0 0 0 0 0 5 1 1 50
"Fremskrittspartiet (FrP)" 0 1 3 3 3 8 1 0 63
"Fremskrittspartiet (FrP)" 0 1 3 2 1 4 1 1 42
"Høyre (H)" 0 2 2 3 0 2 4 1 26
"Fremskrittspartiet (FrP)" 0 1 0 3 2 7 1 1 34
"Høyre (H)" 0 0 3 2 2 5 4 0 38
"Fremskrittspartiet (FrP)" 0 1 2 3 2 4 NA 1 66
"Høyre (H)" 0 2 3 3 3 5 4 1 33
"Høyre (H)" 0 0 2 2 1 4 1 0 66
"Høyre (H)" 0 1 3 3 3 4 3 0 39
"Høyre (H)" 0 1 0 2 0 5 5 1 33
"Fremskrittspartiet (FrP)" 0 2 0 3 0 4 1 0 39
"Fremskrittspartiet (FrP)" 0 1 2 3 3 5 1 1 42
"Fremskrittspartiet (FrP)" 0 2 2 1 1 7 1 1 48
"Fremskrittspartiet (FrP)" 1 2 3 3 2 5 1 0 43
"Fremskrittspartiet (FrP)" NA 1 1 3 2 6 NA 1 71
"Fremskrittspartiet (FrP)" NA 2 2 2 2 3 4 0 32
"Høyre (H)" 0 0 2 2 3 3 1 0 38
"Fremskrittspartiet (FrP)" 0 2 0 2 2 5 1 1 59
"Høyre (H)" 0 1 2 3 3 3 5 1 49
"Høyre (H)" 0 0 1 3 2 3 3 1 41
"Fremskrittspartiet (FrP)" 0 1 2 2 3 5 1 0 31
"Fremskrittspartiet (FrP)" 0 0 1 2 2 5 1 0 65
"Fremskrittspartiet (FrP)" 0 0 3 3 3 4 1 1 48
"Fremskrittspartiet (FrP)" 0 1 1 2 2 7 4 0 34
"Fremskrittspartiet (FrP)" 0 0 3 3 2 5 4 1 37
"Fremskrittspartiet (FrP)" 0 2 3 3 3 6 1 1 59
"Høyre (H)" 1 0 3 3 3 3 1 1 53
"Fremskrittspartiet (FrP)" 0 1 0 3 3 5 1 1 45
"Fremskrittspartiet (FrP)" 0 1 0 3 3 7 NA 0 72
"Fremskrittspartiet (FrP)" 0 1 2 3 3 5 NA 0 53
"Fremskrittspartiet (FrP)" 0 1 3 1 2 4 1 1 55
"Fremskrittspartiet (FrP)" 0 1 1 2 2 5 4 1 43
"Høyre (H)" 0 1 3 3 3 4 1 0 40
"Fremskrittspartiet (FrP)" 0 0 0 1 0 3 4 1 42
"Fremskrittspartiet (FrP)" 0 2 3 2 1 4 4 0 42
"Fremskrittspartiet (FrP)" 1 0 1 2 0 4 1 0 21
NA NA NA NA NA NA NA NA NA NA
"Fremskrittspartiet (FrP)" 1 1 2 2 2 5 1 1 71
"Fremskrittspartiet (FrP)" 0 0 2 3 1 3 NA 0 19
"Fremskrittspartiet (FrP)" 0 1 2 2 2 4 1 1 63
"Høyre (H)" 1 1 3 3 3 4 4 1 63
"Høyre (H)" 0 0 1 2 1 5 3 1 44
"Fremskrittspartiet (FrP)" 0 2 2 2 0 4 4 1 55
"Fremskrittspartiet (FrP)" 0 0 2 3 1 5 1 1 73
"Høyre (H)" 0 2 3 3 3 7 4 1 29
"Høyre (H)" 1 1 3 1 1 6 1 1 52
"Fremskrittspartiet (FrP)" 0 2 0 2 2 3 NA 1 59
"Høyre (H)" 1 1 2 2 2 5 1 1 49
"Fremskrittspartiet (FrP)" 0 2 2 3 2 5 1 1 73
"Fremskrittspartiet (FrP)" 1 2 1 3 3 5 4 0 39
"Fremskrittspartiet (FrP)" 0 1 3 3 1 3 3 0 40
"Fremskrittspartiet (FrP)" 0 2 2 3 3 7 1 1 59
"Fremskrittspartiet (FrP)" 0 0 3 2 1 9 1 0 42
"Høyre (H)" 1 1 1 0 0 3 NA 1 23
"Fremskrittspartiet (FrP)" 0 1 0 3 1 5 3 1 36
"Høyre (H)" NA NA 1 2 0 4 4 1 61
NA NA NA NA NA NA NA NA NA NA
"Fremskrittspartiet (FrP)" 0 0 2 2 0 3 3 0 33
"Fremskrittspartiet (FrP)" 0 1 3 3 2 3 3 1 54
"Fremskrittspartiet (FrP)" 1 NA NA 2 0 4 1 0 46
"Fremskrittspartiet (FrP)" 0 1 3 3 3 4 4 1 47
"Høyre (H)" 0 2 1 2 2 3 4 1 35
"Fremskrittspartiet (FrP)" 0 0 2 2 NA 6 1 0 48
"Fremskrittspartiet (FrP)" 0 1 1 3 2 6 4 1 38
"Fremskrittspartiet (FrP)" 0 1 1 2 3 3 1 0 36
"Høyre (H)" 0 0 2 2 1 6 4 1 45
"Fremskrittspartiet (FrP)" 0 1 3 2 1 3 4 1 30
"Høyre (H)" 0 1 1 1 2 4 NA 0 18
"Høyre (H)" 0 0 0 2 0 4 4 0 33
"Høyre (H)" 0 1 0 2 2 5 1 0 44
"Fremskrittspartiet (FrP)" 0 2 3 3 2 6 NA 0 60
"Fremskrittspartiet (FrP)" 1 1 3 3 3 5 NA 1 79
"Høyre (H)" 0 1 0 2 1 4 5 1 51
"Fremskrittspartiet (FrP)" 0 1 3 3 3 3 1 1 22
"Fremskrittspartiet (FrP)" 0 0 0 0 3 8 1 1 38
"Høyre (H)" 0 2 1 3 2 2 1 1 30
"Fremskrittspartiet (FrP)" 1 2 0 0 0 10 NA 1 48
"Fremskrittspartiet (FrP)" NA 2 2 2 2 7 1 0 21
"Høyre (H)" 0 1 3 3 3 4 1 1 60
"Høyre (H)" 1 0 2 3 3 4 5 1 33
"Høyre (H)" 0 0 1 2 2 5 1 1 22
"Fremskrittspartiet (FrP)" 1 1 1 2 0 4 1 0 28
"Høyre (H)" 0 1 2 2 2 5 1 1 41
"Fremskrittspartiet (FrP)" 0 2 0 0 0 5 1 1 44
"Høyre (H)" 0 2 NA 3 1 5 4 0 27
