"ID" "Name" "PositionCommittee" "AttendanceCommittee" "AttendanceCommittee.prop" "Firstname" "Lastname" "Nationality" "NationalParty" "EPGroup" "NeutralCommittees" "NumberCommittees" "NumberPreviousCommittees" "Incumbent" "CommitteeIncumbent" "LoyaltyEPGroup" "LoyaltyNationalParty" "ParticipationRollCall" "PolicyLoyaltyEPGroup" "PolicyLoyaltyNationalParty" "PolicyParticipationRollCall" "MP" "Minister" "PM" "PolicyMP" "PolicyMinister" "NumberReports_OwnInitiative.prev" "NumberReports" "NumberReports_Codecision" "NumberReports_OwnInitiative" "NumberShadowReports" "Committee" "Year" "Chair" "NumberCommittees.lag" "NeutralCommittees.lag" "AttendanceCommittee.prop.lag" "NumberReports_Codecision.lag" "NumberReports.lag" "NumberShadowReports.lag" "PositionCommittee.lag" "Chair.lag" "NationalPolitics" "PolicyNationalPolitics" "EP" "INI.cum" "NewMember.lag" "NumberReports_Codecision.cum" "Loyalty" "NewMemberState"
28432 "Ottaviano Del Turco" "Chair" 10 0.5 "Ottaviano" "DEL TURCO" "Italy" "Uniti nell'Ulivo" "S" 0 0 0 0 0 NA NA NA NA NA NA 0 1 0 0 0 0 2 2 0 NA "EMPL" 1 1 0 0 NA 0 0 0 0 0 1 0 6 0 0 0 NA 0
2107 "Jan Andersson" "Chair" 20 1 "Jan" "ANDERSSON" "Sweden" "Arbetarepartiet- Socialdemokraterna" "S" 0 0 0 1 0 NA NA NA NA NA NA 1 0 0 1 0 2 0 0 0 NA "EMPL" 1 1 0 0 0.666666666666667 0 0 0 0 0 1 1 6 2 0 0 NA 0
2315 "Jean Louis Cottigny " "Vice-Chair" 16 0.8 "Jean Louis" "COTTIGNY" "France" "Parti socialiste" "S" 0 0 0 0 0 NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 0 0 6 0 0 0 NA 0
4466 "Ilda Figueiredo" "Vice-Chair" 19 0.95 "Ilda" "FIGUEIREDO" "Portugal" "Coligacao Democratica Unitaria (PCP-PEV)" "GUE/NGL" 1 0 0 1 1 NA NA NA NA NA NA 1 0 0 NA 0 1 1 0 1 NA "EMPL" 1 0 0 0 0.444444444444444 0 1 0 0 0 1 NA 6 1 0 3 NA 0
1922 "Thomas Mann" "Vice-Chair" 20 1 "Thomas" "MANN" "Germany" "Christlich Demokratische Union Deutschlands" "PPE" 0 0 0 1 0 NA NA NA NA NA NA 0 0 0 0 0 1 0 0 0 NA "EMPL" 1 0 0 0 0.777777777777778 0 0 0 0 0 0 0 6 1 0 0 NA 0
28365 "Pier Antonio Panzeri " "Vice-Chair" 3 0.15 "Pier Antonio" "PANZERI" "Italy" "Uniti nell'Ulivo" "S" 0 1 1 0 0 NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 0 0 6 0 0 0 NA 0
4541 "Elizabeth Lynne" "Vice-Chair" 16 0.8 "Elizabeth" "LYNNE" "United Kingdom" "Liberal Democrat Party" "ALDE" 0 0 0 1 1 NA NA NA NA NA NA 1 0 0 1 0 1 0 0 0 NA "EMPL" 1 0 0 0 0.888888888888889 0 0 0 0 0 1 1 6 1 0 0 NA 0
28179 "Roselyne Bachelot-Narquin" "Member" 16 0.8 "Roselyne" "BACHELOT-NARQUIN" "France" "Union pour un Mouvement Populaire" "PPE" 0 0 0 0 0 NA NA NA NA NA NA 1 1 0 1 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 1 1 6 0 0 0 NA 0
23866 "Edit Bauer" "Member" 10 0.5 "Edit" "BAUER" "Slovakia" "Strana mad'arskej koalicie - Magyar Koalicio Partja" "PPE" 1 1 1 1 1 NA NA NA NA NA NA 1 0 0 1 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 1 1 6 0 0 0 NA 1
28214 "Jean-Luc Bennahmias" "Member" 13 0.65 "Jean-Luc" "BENNAHMIAS" "France" "Les Verts-Europe-Ecologie" "Verts/ALE" 0 0 0 0 0 NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 0 0 6 0 0 0 NA 0
28171 "Emine Bozkurt" "Member" 11 0.55 "Emine" "BOZKURT" "Netherlands" "Partij van de Arbeid" "S" 1 0 0 0 0 NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 0 0 6 0 0 0 NA 0
4535 "Philip Bushill-Matthews" "Member" 19 0.95 "Philip" "BUSHILL-MATTHEWS" "United Kingdom" "Conservative and Unionist Party" "PPE" 0 0 0 1 1 NA NA NA NA NA NA 0 0 0 0 0 2 0 0 0 NA "EMPL" 1 0 0 0 0.444444444444444 0 0 0 0 0 0 0 6 2 0 0 NA 0
28324 "Milan Cabrnoch" "Member" 18 0.9 "Milan" "CABRNOCH" "Czech Republic" "Obcanska demokraticka strana" "PPE" 0 0 0 0 0 NA NA NA NA NA NA 1 1 0 1 1 0 1 0 1 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 1 1 6 0 0 0 NA 1
4337 "Alejandro Cercas" "Member" 20 1 "Alejandro" "CERCAS" "Spain" "Partido Socialista Obrero Espanol" "S" 0 0 0 1 1 NA NA NA NA NA NA 1 0 0 1 0 1 1 1 0 NA "EMPL" 1 0 0 0 1 0 1 0 0 0 1 1 6 1 0 0 NA 0
28154 "Ole Christensen" "Member" 20 1 "Ole" "CHRISTENSEN" "Denmark" "Socialdemokratiet" "S" 0 0 0 0 0 NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 0 0 6 0 0 0 NA 0
4470 "Luigi Cocilovo" "Member" 15 0.75 "Luigi" "COCILOVO" "Italy" "Uniti nell'Ulivo" "ALDE" 0 0 0 1 1 NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 0.111111111111111 1 1 0 0 0 0 0 6 0 0 1 NA 0
28309 "Fausto Correia" "Member" 5 0.25 "Fausto" "CORREIA" "Portugal" "Partido Socialista" "S" 0 1 0 0 0 NA NA NA NA NA NA 1 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 1 0 6 0 0 0 NA 0
2315 "Jean Louis Cottigny" "Vice-Chair" 16 0.8 "Jean Louis" "COTTIGNY" "France" "Parti socialiste" "S" 0 0 0 0 0 NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 0 0 6 0 0 0 NA 0
1289 "Proinsias De Rossa" "Member" 18 0.9 "Proinsias" "DE ROSSA" "Ireland" "Labour Party" "S" 1 0 0 1 1 NA NA NA NA NA NA 1 1 0 NA 1 0 1 1 0 NA "EMPL" 1 0 0 0 0.333333333333333 0 1 0 0 0 1 1 6 0 0 0 NA 0
4318 "Harlem Désir" "Member" 5 0.25 "Harlem" "DESIR" "France" "Parti socialiste" "S" 0 0 0 1 1 NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 0 0 6 0 0 0 NA 0
2286 "Harald Ettl" "Member" 19 0.95 "Harald" "ETTL" "Austria" "Sozialdemokratische Partei Osterreichs" "S" 0 0 0 1 0 NA NA NA NA NA NA 0 1 0 0 1 1 0 0 0 NA "EMPL" 1 0 0 0 1 0 1 0 0 0 1 1 6 1 0 2 NA 0
23840 "Richard Falbr" "Member" 18 0.9 "Richard" "FALBR" "Czech Republic" "Ceska strana socialne demokraticka" "S" 0 0 0 1 1 NA NA NA NA NA NA 1 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 1 0 6 0 0 0 NA 1
4413 "Carlo Fatuzzo" "Member" 14 0.7 "Carlo" "FATUZZO" "Italy" "Partito Pensionati" "PPE" 0 0 0 1 1 NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 0.444444444444444 0 0 0 0 0 0 0 6 0 0 0 NA 0
31730 "Joel Hasse Ferreira" "Member" 5 0.25 "Joel" "HASSE FERREIRA" "Portugal" "Partido Socialista" "S" 0 0 0 0 0 NA NA NA NA NA NA 1 0 0 0 0 0 0 0 0 NA "EMPL" 1 0 0 0 NA 0 0 0 0 0 1 0 6 0 0 0 NA 0
